date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:13	29660/29660	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2014:17:13%20GMT	https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB	C:/My%20Web%20Sites/Verraton/www.theverraton.com/indexbfa8.html	(from )
19:47:14	29338/29338	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Jul%202019%2014:17:12%20GMT	https://www.theverraton.com/robots.txt		(from )
19:47:14	144877/144877	---M--	200	added ('OK')	text/css	etag:%22e40b69-235ed-582f7ce0f65ad%22	https://www.theverraton.com/css/bootstrap.min.css	C:/My%20Web%20Sites/Verraton/www.theverraton.com/css/bootstrap.min.css	(from https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB)
19:47:14	24035/24035	---M--	200	added ('OK')	text/css	etag:%22e40c56-5de3-58df41d538ea8%22	https://www.theverraton.com/css/style.css	C:/My%20Web%20Sites/Verraton/www.theverraton.com/css/style.css	(from https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB)
19:47:16	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/My%20Web%20Sites/Verraton/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB)
19:47:17	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/Verraton/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB)
19:47:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2019%20Jul%202019%2014:17:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Verraton/www.googletagmanager.com/gtm.45445.delayed	(from https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB)
19:47:18	109785/109785	---M--	200	added ('OK')	image/jpeg	etag:%22e40bcd-1acd9-58c5da62d4655%22	https://www.theverraton.com/images/sec3-bg.jpg	C:/My%20Web%20Sites/Verraton/www.theverraton.com/images/sec3-bg.jpg	(from https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB)
19:47:18	122309/122309	---M--	200	added ('OK')	image/jpeg	etag:%22e40c23-1ddc5-58c5d27fbbb49%22	https://www.theverraton.com/images/sec2-bg.jpg	C:/My%20Web%20Sites/Verraton/www.theverraton.com/images/sec2-bg.jpg	(from https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB)
19:47:18	1341/1341	---M--	200	added ('OK')	application/javascript	etag:%22e40c32-53d-58df0232b8629%22	https://www.theverraton.com/js/header.js	C:/My%20Web%20Sites/Verraton/www.theverraton.com/js/header.js	(from https://www.theverraton.com/?utm_source=google&utm_medium=cpc&utm_campaign=TheVerraton_Search_Brand_Bmm_Mobile_14-6-2019&utm_adgroup=verraton&gclid=Cj0KCQjw1MXpBRDjARIsAHtdN-2h5H-hfQ5FNtyzkIXc38VyN3K9sWa7cwao6MOwITzogor6KcBCEXAaAl9wEALw_wcB)
